년월,한국영화개봉편수,한국영화상영편수,한국영화매출액,한국영화관객수,한국영화점유율,외국영화개봉편수,외국영화상영편수,외국영화매출액,외국영화관객수,외국영화점유율,전체영화개봉편수,전체영화상영편수,전체영화매출액,전체영화관객수
2020-01,59,139,"99,273,272,998","11,588,401",68.8%,106,264,"44,407,788,432","5,255,294",31.2%,165,403,"143,681,061,430","16,843,695"
2020-02,59,141,"41,728,302,280","4,942,629",67.0%,91,227,"20,575,345,700","2,429,741",33.0%,150,368,"62,303,647,980","7,372,370"
2020-03,51,87,"2,526,011,700","307,866",16.8%,103,257,"12,626,707,250","1,526,856",83.2%,154,344,"15,152,718,950","1,834,722"
2020-04,71,128,"1,120,062,760","146,076",15.0%,109,300,"6,395,603,280","826,496",85.0%,180,428,"7,515,666,040","972,572"
2020-05,65,147,"1,742,834,320","220,161",14.4%,92,284,"10,650,880,720","1,306,075",85.6%,157,431,"12,393,715,040","1,526,236"
2020-06,59,145,"24,208,838,380","2,786,453",72.1%,77,270,"8,551,295,420","1,078,080",27.9%,136,415,"32,760,133,800","3,864,533"
2020-07,69,159,"39,977,714,060","4,691,821",83.5%,101,320,"7,261,970,590","926,856",16.5%,170,479,"47,239,684,650","5,618,677"
2020-08,56,152,"64,774,507,400","7,377,415",83.5%,88,271,"12,438,620,639","1,457,187",16.5%,144,423,"77,213,128,039","8,834,602"
2020-09,72,169,"11,534,790,912","1,359,287",45.5%,86,238,"14,497,227,460","1,629,395",54.5%,158,407,"26,032,018,372","2,988,682"
2020-10,90,175,"32,399,365,140","3,561,398",76.9%,80,297,"9,128,144,250","1,072,082",23.1%,170,472,"41,527,509,390","4,633,480"
2020-11,25,153,"20,856,246,730","2,280,900",85.0%,49,236,"3,384,703,460","403,761",15.0%,74,389,"24,240,950,190","2,684,661"
합계,676,"1,595","340,141,946,680","39,262,407",68.7%,982,"2,964","149,918,287,201","17,911,823",31.3%,"1,658","4,559","490,060,233,881","57,174,230"
